Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,06/04/2025,Zelle payment from Farhia Fakqay BEC0JERDMYRD,1151,PARTNERFI_TO_CHASE,12807.26,
CREDIT,05/02/2025,Zelle payment from Farhia Fakqay BEC0JDU9GCJW,1151,PARTNERFI_TO_CHASE,51968.19,
CREDIT,04/02/2025,Zelle payment from Farhia Fakqay BEC0200KB72R,1151,PARTNERFI_TO_CHASE,48533.3,
CREDIT,03/03/2025,Zelle payment from Farhia Fakqay BEC01Z5I815C,1151,PARTNERFI_TO_CHASE,49924.87,
CREDIT,02/03/2025,Zelle payment from Farhia Fakqay BEC01YDVEQ6G,1151,PARTNERFI_TO_CHASE,51377.04,
CREDIT,01/03/2025,Zelle payment from Farhia Fakqay BEC007180417,1151,PARTNERFI_TO_CHASE,48717.55,
CREDIT,12/13/2024,OHANA GROWTH PAR PAYROLL                    PPD ID: 1260302465,1077.95,ACH_CREDIT,44390.74,
CREDIT,12/03/2024,Zelle payment from Farhia Fakqay BEC0IS26ZFLN,1066,PARTNERFI_TO_CHASE,38226.72,
CREDIT,11/29/2024,OHANA GROWTH PAR PAYROLL                    PPD ID: 1260302465,1053.93,ACH_CREDIT,37718.14,
CREDIT,12/31/2024,OHANA GROWTH PAR PAYROLL                    PPD ID: 1260302465,1026.58,ACH_CREDIT,44608.79,
CREDIT,01/22/2026,Zelle payment from NAZIRA MAHAMUD WFCT0ZQHG6SG,1000,PARTNERFI_TO_CHASE,17049.43,
DSLIP,05/07/2025,REMOTE ONLINE DEPOSIT #          1,1000,CHECK_DEPOSIT,50887.37,1
DSLIP,03/12/2025,REMOTE ONLINE DEPOSIT #          1,1000,CHECK_DEPOSIT,46331.15,1
CREDIT,05/07/2026,ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945,900.01,ACH_CREDIT,11671.09,
CREDIT,04/30/2026,ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945,894.24,ACH_CREDIT,11869.65,
CREDIT,04/23/2026,ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945,830.99,ACH_CREDIT,10510.35,
CREDIT,05/15/2026,362507 ATLAS PRO PAYROLL                    PPD ID: 2364227403,679.31,ACH_CREDIT,14435.7,
CREDIT,06/04/2026,ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945,570.83,ACH_CREDIT,19722.44,
DSLIP,02/12/2025,REMOTE ONLINE DEPOSIT #          1,547.76,CHECK_DEPOSIT,48443.03,1
CREDIT,02/23/2026,Zelle payment from CHALTU M HUSSEIN 28165278114,500,QUICKPAY_CREDIT,22618.49,
CREDIT,01/12/2026,Zelle payment from NAZIRA MAHAMUD WFCT0ZPCFF47,500,PARTNERFI_TO_CHASE,13857.26,
DEBIT,10/20/2025,APPLE CASH SENT MONE 1INFINITELOOP CA        10/18,500,DEBIT_CARD,25868.9,
CREDIT,01/27/2025,Zelle payment from NAZIRA MAHAMUD WFCT0YGLB69G,500,PARTNERFI_TO_CHASE,44896.1,
CREDIT,01/27/2025,Zelle payment from NAZIRA MAHAMUD WFCT0YGQ4D6N,500,PARTNERFI_TO_CHASE,44396.1,
CREDIT,04/16/2026,ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945,421.72,ACH_CREDIT,10033.98,
CREDIT,03/03/2026,Zelle payment from FARHIA FAKQAY 28291234321,409,QUICKPAY_CREDIT,12582.46,
CREDIT,02/02/2026,Zelle payment from FARHIA FAKQAY 27927105752,409,QUICKPAY_CREDIT,19555.97,
CREDIT,01/02/2026,Zelle payment from FARHIA FAKQAY 27564068745,409,QUICKPAY_CREDIT,17152.53,
CREDIT,12/03/2025,Zelle payment from FARHIA FAKQAY 27193200630,409,QUICKPAY_CREDIT,12760.3,
CREDIT,11/03/2025,Zelle payment from FARHIA FAKQAY 26830768451,409,QUICKPAY_CREDIT,29529.21,
CREDIT,10/02/2025,Zelle payment from Farhia Fakqay BEC0JI3M1D1Z,409,PARTNERFI_TO_CHASE,24770.99,
CREDIT,09/02/2025,Zelle payment from Farhia Fakqay BEC0JH9VBTZ0,409,PARTNERFI_TO_CHASE,22415.7,
CREDIT,08/04/2025,Zelle payment from Farhia Fakqay BEC0JGF5IEQ1,409,PARTNERFI_TO_CHASE,22583.31,
CREDIT,07/02/2025,Zelle payment from Farhia Fakqay BEC0JFJ1KOGJ,409,PARTNERFI_TO_CHASE,15895.02,
CREDIT,01/15/2025,OHANA GROWTH PAR PAYROLL                    PPD ID: 1260302465,371.38,ACH_CREDIT,39232.54,
DEBIT,11/15/2024,APPLE CASH SENT MONE 1INFINITELOOP CA        11/13,300,DEBIT_CARD,37041.1,
CREDIT,04/09/2026,ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945,272.47,ACH_CREDIT,9651.33,
CREDIT,06/23/2025,Zelle payment from NAZIRA MAHAMUD WFCT0YYBMC78,260,PARTNERFI_TO_CHASE,17419.44,
CREDIT,03/04/2026,Zelle payment from Fatza Hussein 28A021ZJOAQZ,200,PARTNERFI_TO_CHASE,11606.33,
CREDIT,04/14/2025,Zelle payment from RABI HUSSEIN BACw7akuqgoy,200,PARTNERFI_TO_CHASE,49111.81,
CREDIT,05/28/2026,ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945,164.45,ACH_CREDIT,16461.92,
CREDIT,05/14/2026,ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945,164.45,ACH_CREDIT,13784.58,
CREDIT,02/02/2026,Zelle payment from DOMINADOR ILANO WFCT0ZRHNVZ6,150,PARTNERFI_TO_CHASE,19705.97,
CREDIT,01/22/2026,Zelle payment from NAZIRA MAHAMUD WFCT0ZQHLGRQ,150,PARTNERFI_TO_CHASE,17199.43,
CREDIT,04/08/2026,Online Transfer from CHK ...5669 transaction#: 28744651413,134.76,ACCT_XFER,9577.53,
CREDIT,03/20/2026,Zelle payment from CHALTU M HUSSEIN 28510173197,107,QUICKPAY_CREDIT,11375.86,
CREDIT,03/09/2026,Zelle payment from Fatza Hussein 28A0222N56WP,100,PARTNERFI_TO_CHASE,11563.77,
DEBIT,04/07/2025,APPLE CASH SENT MONE 1INFINITELOOP CA        04/06,97.05,DEBIT_CARD,46591.62,
DEBIT,03/09/2026,AMAZON MKTPLACE PMTS Amzn.com/bill WA        03/07,86.87,DEBIT_CARD,11463.77,
DEBIT,03/30/2026,Amazon.com Amzn.com/bill WA                  03/27,85.89,DEBIT_CARD,11741.52,
CREDIT,11/05/2025,Zelle payment from MAHIR HUSSEIN WFCT0ZGDL8ZQ,80,PARTNERFI_TO_CHASE,26205.39,
CREDIT,09/15/2025,Zelle payment from NAZIRA MAHAMUD WFCT0Z8RXPNM,60.62,PARTNERFI_TO_CHASE,24617.72,
CREDIT,03/16/2026,Zelle payment from Fatza Hussein 28A022AUI0YB,60,PARTNERFI_TO_CHASE,12088.91,
CREDIT,04/14/2025,Zelle payment from RABI HUSSEIN BACvd74jg1l1,60,PARTNERFI_TO_CHASE,49171.81,
CREDIT,02/17/2026,Zelle payment from Fatza Hussein 28A021H20P4Q,50,PARTNERFI_TO_CHASE,15266.86,
DEBIT,06/04/2025,AMAZON MKTPLACE PMTS Amzn.com/bill WA        06/03,43.03,DEBIT_CARD,11656.26,
CREDIT,01/13/2026,Zelle payment from NAZIRA MAHAMUD WFCT0ZPKZK87,40,PARTNERFI_TO_CHASE,13837.45,
DSLIP,02/09/2026,REMOTE ONLINE DEPOSIT #          1,38.23,CHECK_DEPOSIT,15910.9,1
DEBIT,01/26/2026,AMAZON MKTPLACE PMTS Amzn.com/bill WA        01/26,32.5,DEBIT_CARD,13593.96,
CREDIT,12/12/2024,Zelle payment from HAMDI USHE BACszrsx14q7,32,PARTNERFI_TO_CHASE,43376.38,
CREDIT,02/02/2026,Zelle payment from FATIMA LOPEZ WFCT0ZRJCC3Y,30,PARTNERFI_TO_CHASE,19735.97,
CREDIT,10/06/2025,Zelle payment from NAZIRA MAHAMUD WFCT0ZC5NTV3,30,PARTNERFI_TO_CHASE,24716.24,
CREDIT,06/30/2025,Zelle payment from NAZIRA MAHAMUD WFCT0YYXYNHM,30,PARTNERFI_TO_CHASE,16604.55,
DEBIT,10/15/2025,WSFERRIES-CUST SERVICE SEATTLE WA            10/14,20.5,DEBIT_CARD,25572.72,
CREDIT,05/30/2025,Zelle payment from NAZIRA MAHAMUD WFCT0YVVMYC8,14,PARTNERFI_TO_CHASE,13299.79,
CREDIT,04/09/2026,Online Transfer from CHK ...5669 transaction#: 28758285726,10,ACCT_XFER,9661.33,
CREDIT,09/15/2025,Zelle payment from NAZIRA MAHAMUD WFCT0Z8WLFS9,10,PARTNERFI_TO_CHASE,24627.72,
CREDIT,12/22/2025,Zelle payment from Abbas G Muhmmednur USB4Tafowl7H,6,PARTNERFI_TO_CHASE,11462.37,
CREDIT,12/22/2025,Zelle payment from Harun S Hussein USBpQGGowkXN,6,PARTNERFI_TO_CHASE,11456.37,
CREDIT,01/27/2025,Zelle payment from NAZIRA MAHAMUD WFCT0YGL4BHT,1,PARTNERFI_TO_CHASE,44897.1,
DEBIT,02/19/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         02/17KHAYRAT A,-0.03,FEE_TRANSACTION,13092.15,
DEBIT,05/08/2026,CHIPOTLE 2228 SEATTLE WA                     05/06,-0.09,DEBIT_CARD,14495.4,
DEBIT,02/19/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         02/17Ashoor Re,-0.37,FEE_TRANSACTION,13092.18,
DEBIT,01/20/2026,CHICK-FIL-A #03930 LAS VEGAS NV              01/16,-0.42,DEBIT_CARD,16134.68,
DEBIT,01/23/2026,CIRCLE K # 09555 LAS VEGAS NV                01/22,-0.5,DEBIT_CARD,17155.79,
DEBIT,09/04/2025,CHIPOTLE 4607 LAS VEGAS NV                   09/03,-0.81,DEBIT_CARD,22314.77,
DEBIT,08/07/2025,PY *TERIYAKI MADNESS  N LAS VEGAS NV         08/07,-0.81,DEBIT_CARD,22344.42,
DEBIT,05/12/2025,WALGREENS STORE 10510 LAS VEGAS NV   508056  05/09,-0.99,DEBIT_CARD,41918.44,
DEBIT,03/30/2026,SQ *MUSLIM ASSOCIATION Seattle WA            03/29,-1,DEBIT_CARD,11362.24,
DEBIT,12/24/2025,Popeyes 10732 Las Vegas NV                   12/24,-1.08,DEBIT_CARD,11332.86,
DEBIT,12/03/2025,POPEYES 5719 RJONES@AMIRIA NV                12/02,-1.08,DEBIT_CARD,12759.22,
DEBIT,02/18/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         02/17MC DONALD,-1.16,FEE_TRANSACTION,14801.41,
DEBIT,12/02/2024,DOLLARTREE SEATTLE WA                        11/30,-1.25,DEBIT_CARD,37206.26,
DEBIT,11/15/2024,DOLLARTREE SEATTLE WA                        11/14,-1.25,DEBIT_CARD,38333.1,
DEBIT,02/19/2026,KHAYRAT ALTABIAH    KAH       201            02/17 Saudi Riyal5.00 X 0.2660000 (EXCHG RTE),-1.33,DEBIT_CARD,14787.55,
DEBIT,12/22/2025,TKS BOBA LAS VEGAS NV                        12/21,-1.35,DEBIT_CARD,11333.94,
DEBIT,02/18/2025,DOLLAR TREE LAS VEGAS NV                     02/15,-1.35,DEBIT_CARD,43460.87,
DEBIT,08/15/2025,DOLLARTREE SEATTLE WA                017200  08/15,-1.38,DEBIT_CARD,24559.45,
DEBIT,12/16/2024,DOLLARTREE SEATTLE WA                        12/15,-1.38,DEBIT_CARD,44035.47,
DEBIT,10/15/2025,McDonalds 38459 LAS VEGAS NC                 10/13,-1.5,DEBIT_CARD,25571.22,
DEBIT,08/25/2025,KITCHEN & MARKET SEATTLE WA          441760  08/25,-1.5,DEBIT_CARD,19737.81,
DEBIT,07/07/2025,McDonalds 31454 LAS VEGAS NV                 07/05,-1.5,DEBIT_CARD,18466.48,
DEBIT,06/04/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          06/03,-1.55,DEBIT_CARD,19717.49,
DEBIT,05/08/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          05/07,-1.55,DEBIT_CARD,14480.04,
DEBIT,05/01/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/30,-1.55,DEBIT_CARD,15248.35,
DEBIT,04/24/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/23,-1.55,DEBIT_CARD,11546.37,
DEBIT,10/14/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  052259  10/12,-1.59,DEBIT_CARD,26239.8,
DEBIT,06/04/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          06/03,-1.65,DEBIT_CARD,19720.79,
DEBIT,05/11/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          05/10,-1.65,DEBIT_CARD,14279.15,
DEBIT,05/08/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          05/07,-1.65,DEBIT_CARD,14481.59,
DEBIT,05/01/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/30,-1.65,DEBIT_CARD,15246.7,
DEBIT,05/01/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/30,-1.65,DEBIT_CARD,15251.65,
DEBIT,04/30/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/29,-1.65,DEBIT_CARD,11864.6,
DEBIT,04/30/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/29,-1.65,DEBIT_CARD,11866.25,
DEBIT,04/24/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/23,-1.65,DEBIT_CARD,11547.92,
DEBIT,04/24/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/23,-1.65,DEBIT_CARD,11553.87,
DEBIT,04/09/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/08,-1.65,DEBIT_CARD,9657.93,
DEBIT,04/07/2025,COSTCO WHSE #0001 SEATTLE WA         834150  04/06,-1.66,DEBIT_CARD,46453.99,
DEBIT,07/14/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  631170  07/13,-1.69,DEBIT_CARD,17968.32,
DEBIT,07/14/2025,McDonalds 31454 LAS VEGAS NV                 07/11,-1.72,DEBIT_CARD,18228.43,
DEBIT,06/04/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          06/03,-1.75,DEBIT_CARD,19719.04,
DEBIT,05/28/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          05/27,-1.75,DEBIT_CARD,16460.17,
DEBIT,05/11/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          05/10,-1.75,DEBIT_CARD,14280.8,
DEBIT,05/08/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          05/07,-1.75,DEBIT_CARD,14483.24,
DEBIT,05/01/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/30,-1.75,DEBIT_CARD,15249.9,
DEBIT,04/30/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/29,-1.75,DEBIT_CARD,11867.9,
DEBIT,04/24/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/23,-1.75,DEBIT_CARD,11555.52,
DEBIT,04/09/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/08,-1.75,DEBIT_CARD,9659.58,
DEBIT,04/25/2025,DOLLAR TREE LAS VEGAS NV             029384  04/25,-1.75,DEBIT_CARD,51124.02,
DEBIT,04/21/2025,DOLLAR TREE LAS VEGAS NV                     04/19,-1.75,DEBIT_CARD,49571.72,
DEBIT,05/29/2025,CPI*SKYTOP VENDING LL 702-387-8789 NV        05/28,-1.85,DEBIT_CARD,13309.53,
DEBIT,05/22/2025,CPI*SKYTOP VENDING LL 702-387-8789 NV        05/21,-1.85,DEBIT_CARD,11208.15,
DEBIT,08/27/2025,UWAJIMAYA SEATTLE SEATTLE WA         149590  08/27,-1.88,DEBIT_CARD,19491.68,
DEBIT,04/29/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  550150  04/29,-1.89,DEBIT_CARD,50875.65,
DEBIT,11/28/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  031902  11/27,-1.99,DEBIT_CARD,13018.75,
DEBIT,11/18/2025,TOYOTA OF LAS VEGAS LAS VEGAS NV             11/17,-1.99,DEBIT_CARD,28203.86,
DEBIT,11/06/2025,WALGREENS STORE 10510 LAS VEGAS NV   388200  11/06,-1.99,DEBIT_CARD,26203.4,
DEBIT,11/25/2024,SAFEWAY #1965 SEATTLE WA                     11/24,-1.99,DEBIT_CARD,37275.49,
DEBIT,02/05/2026,CLARK CO PARKS AND REC 7024558132 NV         02/04,-2,DEBIT_CARD,16580.34,
DEBIT,02/03/2026,CLARK CO PARKS AND REC 7024558132 NV         02/02,-2,DEBIT_CARD,17979.34,
DEBIT,02/02/2026,CLARK CO PARKS AND REC 7024558132 NV         01/31,-2,DEBIT_CARD,18129.52,
DEBIT,01/29/2026,CLARK CO PARKS AND REC 7024558132 NV         01/28,-2,DEBIT_CARD,12971.54,
DEBIT,01/27/2026,CLARK CO PARKS AND REC 7024558132 NV         01/26,-2,DEBIT_CARD,13158.27,
DEBIT,01/22/2026,CLARK CO PARKS AND REC 7024558132 NV         01/21,-2,DEBIT_CARD,17197.43,
DEBIT,01/20/2026,CLARK CO PARKS AND REC 7024558132 NV         01/17,-2,DEBIT_CARD,16132.68,
DEBIT,01/15/2026,CLARK CO PARKS AND REC 7024558132 NV         01/14,-2,DEBIT_CARD,13427.6,
DEBIT,01/08/2026,CLARK CO PARKS AND REC 7024558132 NV         01/07,-2,DEBIT_CARD,36314.37,
DEBIT,01/06/2026,CLARK CO PARKS AND REC 7024558132 NV         01/05,-2,DEBIT_CARD,36343.32,
DEBIT,01/05/2026,CLARK CO PARKS AND REC 7024558132 NV         01/03,-2,DEBIT_CARD,13709.66,
DEBIT,01/02/2026,CLARK CO PARKS AND REC 7024558132 NV         12/31,-2,DEBIT_CARD,17150.53,
DEBIT,12/30/2025,CLARK CO PARKS AND REC 7024558132 NV         12/29,-2,DEBIT_CARD,10705.05,
DEBIT,12/29/2025,CLARK CO PARKS AND REC 7024558132 NV         12/27,-2,DEBIT_CARD,10729.6,
DEBIT,12/18/2025,CLARK CO PARKS AND REC 7024558132 NV         12/17,-2,DEBIT_CARD,8748.83,
DEBIT,12/16/2025,CLARK CO PARKS AND REC 7024558132 NV         12/15,-2,DEBIT_CARD,9179.99,
DEBIT,12/15/2025,CLARK CO PARKS AND REC 7024558132 NV         12/13,-2,DEBIT_CARD,9473.35,
DEBIT,11/24/2025,CLARK CO PARKS AND REC 7024558132 NV         11/22,-2,DEBIT_CARD,14244.72,
DEBIT,11/17/2025,CLARK CO PARKS AND REC 7024558132 NV         11/15,-2,DEBIT_CARD,28418.57,
DEBIT,11/13/2025,CLARK CO PARKS AND REC 7024558132 NV         11/12,-2,DEBIT_CARD,28534.66,
DEBIT,10/28/2025,CLARK CO PARKS AND REC 7024558132 NV         10/27,-2,DEBIT_CARD,25669.97,
DEBIT,10/27/2025,CLARK CO PARKS AND REC 7024558132 NV         10/25,-2,DEBIT_CARD,26465.62,
DEBIT,10/20/2025,CLARK CO PARKS AND REC 7024558132 NV         10/18,-2,DEBIT_CARD,25112.34,
DEBIT,10/20/2025,CLARK CO PARKS AND REC 7024558132 NV         10/17,-2,DEBIT_CARD,25818.89,
DEBIT,10/16/2025,CLARK CO PARKS AND REC 7024558132 NV         10/15,-2,DEBIT_CARD,25438.26,
DEBIT,10/14/2025,CLARK CO PARKS AND REC 7024558132 NV         10/13,-2,DEBIT_CARD,26222.01,
DEBIT,10/14/2025,CLARK CO PARKS AND REC 7024558132 NV         10/11,-2,DEBIT_CARD,26620.88,
DEBIT,10/14/2025,CLARK CO PARKS AND REC 7024558132 NV         10/10,-2,DEBIT_CARD,26667.83,
DEBIT,10/06/2025,CLARK CO PARKS AND REC 7024558132 NV         10/04,-2,DEBIT_CARD,24658.29,
DEBIT,09/15/2025,CLARK CO PARKS AND REC 7024558132 NV         09/13,-2,DEBIT_CARD,24558.79,
DEBIT,07/21/2025,CLARK CO PARKS AND REC 7024558132 NV         07/19,-2,DEBIT_CARD,20297.72,
DEBIT,07/14/2025,CLARK CO PARKS AND REC 7024558132 NV         07/12,-2,DEBIT_CARD,18176.72,
DEBIT,06/30/2025,CLARK CO PARKS AND REC 7024558132 NV         06/28,-2,DEBIT_CARD,16439.37,
DEBIT,06/23/2025,CLARK CO PARKS AND REC 7024558132 NV         06/21,-2,DEBIT_CARD,17394.18,
DEBIT,06/16/2025,CLARK CO PARKS AND REC 7024558132 NV         06/14,-2,DEBIT_CARD,14646.21,
DEBIT,06/10/2025,Nyx*Tarkanian Basketbal Las Vegas NV         06/09,-2,DEBIT_CARD,14945.59,
DEBIT,06/09/2025,CLARK CO PARKS AND REC 7024558132 NV         06/07,-2,DEBIT_CARD,15081.41,
DEBIT,06/02/2025,CLARK CO PARKS AND REC 7024558132 NV         05/31,-2,DEBIT_CARD,13410.62,
DEBIT,05/27/2025,CLARK CO PARKS AND REC 7024558132 NV         05/24,-2,DEBIT_CARD,13587.2,
DEBIT,05/27/2025,CLARK CO PARKS AND REC 7024558132 NV         05/23,-2,DEBIT_CARD,13739.22,
DEBIT,05/19/2025,CLARK CO PARKS AND REC 7024558132 NV         05/17,-2,DEBIT_CARD,41330.67,
DEBIT,05/19/2025,CLARK CO PARKS AND REC 7024558132 NV         05/16,-2,DEBIT_CARD,41441.95,
